Resources,Category
"https://new.nsf.gov/news/earths-weird-wonderful-animal-models 
",Wildlife
https://biology.ucdavis.edu/research/model-organisms/fruit-fly ,Wildlife
https://elifesciences.org/articles/06793 ,Wildlife
"https://www.loc.gov/item/today-in-history/april-22/ 
",History
https://www.epa.gov/history/epa-history-earth-day ,History
https://www.history.com/this-day-in-history/the-first-earth-day ,History
https://www.earthday.org/history/ ,History
https://www.epa.gov/laws-regulations/history-clean-water-act ,History
"https://uswateralliance.org/resources/history-of-the-clean-water-act/ 
",History
https://online.law.tulane.edu/blog/clean-water-act-history ,History
https://www.tjswcd.org/wp-content/uploads/2021/04/Earth-Day-Quiz-Answers.pdf,Wildlife
"https://www.usda.gov/media/blog/2015/03/17/power-one-tree-very-air-we-breathe
 ",Wildlife
https://www.arborday.org/trees/treefacts/ ,Wildlife
"https://www.earthday.org/how-earth-day-went-global-and-how-we-can-use-it-to-save-our-earth/ 
",History
https://kids.nationalgeographic.com/celebrations/article/earth-day ,History
https://www.weforum.org/agenda/2024/04/earth-day-climate-change-global-action-protest-movement/ ,History
https://www.popsci.com/fifteen-years-googles-earth-day-doodles/ ,History
"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10252980/ 
",Actions/Behaviors
https://uk.sodexo.com/inspired-thinking/students-understand-carbon-footprint-of-school-meals.html,Actions/Behaviors
https://foe.org/resources/shrinking-carbon-water-footprint-school-food/ ,Actions/Behaviors
"https://www.researchgate.net/figure/Summary-of-effects-of-electric-fields-on-the-cockroach-A-Before-encountering-a_fig4_23475540 
",Wildlife
https://journals.biologists.com/jeb/article/211/23/3682/17965/Static-electric-field-detection-and-behavioural,Wildlife
https://journals.biologists.com/jeb/article/214/12/2020/10279/Static-electric-fields-modify-the-locomotory ,Wildlife
"https://www.nobelprize.org/prizes/physics/1921/summary/ 
",History
https://www.eia.gov/kids/history-of-energy/timelines/solar-thermal.php,Solar
https://energy4me.org/learn-about-energy/energy-sources/solar/history/ ,Solar
"https://www.epa.gov/ghgemissions/global-greenhouse-gas-overview 
",Energy
https://www.eia.gov/energyexplained/energy-and-the-environment/where-greenhouse-gases-come-from.php ,Energy
https://world-nuclear.org/information-library/energy-and-the-environment/carbon-dioxide-emissions-from-electricity ,Energy
"https://www.britannica.com/place/South-Africa/Resources-and-power 
",Policy
https://oec.world/en/profile/country/zaf ,Policy
https://globaledge.msu.edu/countries/south-africa/tradestats,Policy
"https://www.worldometers.info/co2-emissions/co2-emissions-by-country/ 
",Air/Atmosphere
https://ourworldindata.org/co2-emissions ,Air/Atmosphere
https://www.wri.org/insights/interactive-chart-shows-changes-worlds-top-10-emitters,Air/Atmosphere
"https://www.weather.gov/fwd/mayfest15
 ",Air/Atmosphere
https://www.star-telegram.com/news/local/article288277120.html,Air/Atmosphere
"https://www.wfaa.com/article/news/local/tarrant-county/fort-worth-texas-mayfest-storm-hail-1995-may-5-north-texas-dfw-weather-damage/287-2481f97d-2067-4599-96ea-21e407f3a699 
",Air/Atmosphere
"https://www.volkswagen-group.com/en/nature-18174 
",Technology
https://www.volkswagen-newsroom.com/en/e-mobility-and-sustainability-4726,Technology
https://www.volkswagen.com.au/en/brand-experience/sustainability.html ,Technology
"https://www.montereybayaquarium.org/animals/animals-a-to-z/copepod
",Wildlife
"http://www.mesa.edu.au/crustaceans/crustaceans02b.asp 
",Wildlife
https://www.fisheries.noaa.gov/feature-story/copepods-cows-sea,Wildlife
"https://www.gpi.org/glass-recycling-facts 
",Technology
https://www.gpi.org/glass-facts,Technology
 https://earth911.com/recycling-guide/how-to-recycle-glass-bottles-jars/,Recycling
"https://www.boisestate.edu/cobe/blog/2023/10/reusing-recycling-and-upcycling-a-primer/ 
",Actions/Behaviors
https://earth5r.org/reuse-and-upcycling-transforming-waste-into-sustainability/ ,Actions/Behaviors
https://www.epa.gov/recycle/reducing-and-reusing-basics ,Actions/Behaviors
"https://www.e-education.psu.edu/matse81/node/2087 
",Recycling
"https://www.asm-recycling.co.uk/blog/what-are-different-recycled-metals-used-for/
",Recycling
https://gpmetalsandspares.co.uk/blog/what-metals-can-be-recycled/,Recycling
"https://www.afandpa.org/news/2023/cardboard-recyclable 
",Recycling
https://www.swiftpak.co.uk/insights/the-facts-about-recycling-paper-packaging ,Recycling
https://www.peoriacounty.gov/1145/What-do-recyclables-become ,Recycling
"https://bio.libretexts.org/Bookshelves/Introductory_and_General_Biology/Introductory_Biology_(CK-12)/01%3A_Introduction_to_Biology/1.19%3A_Water_and_Life 
",Water
https://sitn.hms.harvard.edu/uncategorized/2019/biological-roles-of-water-why-is-water-necessary-for-life/,Water
https://astrobiology.nasa.gov/education/alp/water-so-important-for-life/,Water
"https://www.maine.gov/dacf/php/gotpests/othercritters/factsheets/bats-wv.pdf
",WIldlife
https://www.nmhealth.org/publication/view/guide/1001/ ,WIldlife
https://batweek.org/bats-are-important-fascinating/ ,WIldlife
https://gml.noaa.gov/hats/publictn/elkins/cfcs.html ,Air/Atmosphere
"
https://www.gml.noaa.gov/hats/about/cfc.html",Air/Atmosphere
"
https://www.epa.gov/ozone-layer-protection/basic-ozone-layer-science",Air/Atmosphere
https://www.eia.gov/energyexplained/biomass/landfill-gas-and-biogas.php,Energy
"
https://www.eesi.org/papers/view/fact-sheet-biogasconverting-waste-to-energy",Energy
"
https://www.worldwildlife.org/blogs/sustainability-works/posts/is-biogas-a-green-energy-source",Energy
https://unfccc.int/kyoto_protocol,History
"
https://www.climateforesight.eu/articles/success-or-failure-the-kyoto-protocols-troubled-legacy/",History
"
https://earth.org/the-kyoto-protocol/",History
https://www.audubon.org/about,History
"
https://www.audubon.org/",History
"
https://www.influencewatch.org/non-profit/national-audubon-society/",History
https://ozone.unep.org/20-questions-and-answers,Air/Atmosphere
"
https://csl.noaa.gov/assessments/ozone/2010/twentyquestions/Q1.pdf",Air/Atmosphere
"
https://19january2021snapshot.epa.gov/ozone-layer-protection/basic-ozone-layer-science_.html",Air/Atmosphere
https://www.standard.co.uk/news/uk/cop26-activists-pikachu-protest-against-japan-coal-industry-alok-sharma-glasgow-b964316.html,History
"
https://news.un.org/en/events/cop26/date/2021-11-04",History
"
https://www.pbs.org/newshour/live-update/climate-summit-updates-biden-joins-world-leaders-in-glasgow/climate-activists-protest-near-cop26-venue-urge-japan-to-phase-out-coal",History
https://www.nps.gov/piro/learn/nature/wetlands.htm,Wildlife
"
http://www.wetlands-initiative.org/what-is-a-wetland",Wildlife
"
https://www.epa.gov/wetlands/classification-and-types-wetlands#undefined",Wildlife
https://letstalkscience.ca/educational-resources/backgrounders/boreal-foresttaiga-biome,Wildlife
"
https://education.nationalgeographic.org/resource/taiga/",Wildlife
"
https://digitaleditions.library.dal.ca/environmentalscience/chapter/chapter-8-biomes-and-ecozones/",Wildlife
https://www.mcny.org/exhibition/environmentalism,History
"
https://www.archives.nyc/blog/2023/4/21/new-yorks-first-earth-day",History
"
https://www.nycgovparks.org/about/history/earth-day-arbor-day",History
https://www.solarinsure.com/how-many-americans-have-solar-panels,Energy
"
https://usafacts.org/articles/how-much-solar-energy-do-homes-produce/",Energy
"
https://www.eia.gov/todayinenergy/detail.php?id=54379",Energy
https://www.constructelements.com/post/types-of-eco-friendly-building-materials-for-houses,Technology
"
https://www.cemexventures.com/sustainable-building-materials/",Technology
"
https://ccemagazine.com/news/10-sustainable-building-materials/",Technology
https://www.eia.gov/energyexplained/natural-gas/,Energy
"
https://afdc.energy.gov/fuels/natural-gas-basics",Energy
"
https://www.eia.gov/kids/energy-sources/natural-gas/",Energy
https://www.epa.gov/ghgemissions/overview-greenhouse-gases,Energy
"
https://www.epa.gov/gmi/importance-methane",Energy
"
https://www.iea.org/reports/methane-tracker-2021/methane-and-climate-change",Energy
https://gml.noaa.gov/outreach/info_activities/pdfs/TBI_what_is_climate.pdf,Air/Atmosphere
"
https://www.ncei.noaa.gov/news/weather-vs-climate",Air/Atmosphere
"
https://education.nationalgeographic.org/resource/all-about-climate/",Air/Atmosphere
https://www.epa.gov/land-research/quantifying-methane-emissions-landfilled-food-waste,Air/Atmosphere
"
https://www.npr.org/2021/07/13/1012218119/epa-struggles-to-track-methane-from-landfills-heres-why-it-matters-for-the-clima",Air/Atmosphere
"
https://clear.ucdavis.edu/news/methane-has-been-achilles-heel-cattle-emissions-it-may-be-part-climate-solution",Air/Atmosphere
https://www.energy.gov/eere/bioenergy/bioenergy-basics,Energy
"
https://education.nationalgeographic.org/resource/biomass-energy/",Energy
"
https://www.eia.gov/energyexplained/biomass/",Energy
https://www.wired.com/2010/04/anoxic-animals/,Wildlife
"
https://www.carboniferous.co/anoxic-basins",Wildlife
"
https://www.sciencedaily.com/releases/2020/12/201217154044.html",Wildlife
https://whc.unesco.org/en/list/754/,Water
"
https://www.lakebaikal.org/",Water
"
https://www.smithsonianmag.com/travel/lake-baikal-and-more-of-the-weirdest-lakes-of-the-world-15341548/",Water
https://earthobservatory.nasa.gov/biome/biotundra.php,Wildlife
"
https://education.nationalgeographic.org/resource/tundra-biome/",Wildlife
"
https://ucmp.berkeley.edu/exhibits/biomes/tundra.php",Wildlife
https://oceanservice.noaa.gov/facts/lagoon.html,Water
"
https://education.nationalgeographic.org/resource/lagoon/",Water
"
https://www.worldatlas.com/articles/what-is-a-lagoon-how-many-types-are-there.html",Water
https://environmentamerica.org/pennsylvania/articles/what-are-nurdles/,Technology
"
https://www.plasticsoupfoundation.org/en/the-nurdle-file/",Technology
"
https://oceanblueproject.org/what-are-nurdles-what-are-nurdles-used-for/",Technology
